RUCHE;LoAb;LoVA;LoVB;IC;LoAn;LaAn;LoAp;LaAP;LoFe;LoTi;LoMe;LaMe;LoTp;LoFa;LaBj;LoPl;LaTom;LoLan
Bouna;13,16666667;0,55134679;0,31693492;1,35886535;11,2056942;4,01029424;7,80742084;2,23136832;3,02893365;3,50919989;2,39950696;1,47973679;8,9436458;3,38784906;1,79788897;0,15290274;2,18984719;7,01398
Bouna;12,33333333;0,5766461;0,27664417;1,62855789;10,8589307;4,0054464;7,58418963;2,08726944;2,76286863;3,44505653;2,47264507;1,54053782;8,67839604;3,49896053;1,97948823;0,17605338;2,04031326;7,42959452
Bouna;11,58333333;0,59883226;0,24329528;1,92343183;11,2220791;4,06152054;7,38248257;2,18647966;2,8280774;3,31367464;2,12709505;1,52025804;8,25953946;3,5627509;2,1339507;0,17825075;2,18132701;6,13123238
Bouna;13,41666667;0,64964559;0,26611051;1,90681774;11,2460622;4,11316609;7,84526121;2,19143267;3,04997385;3,91596298;2,48096702;1,50676678;9,45571516;3,45656288;2,02119764;0,20444531;2,17658752;7,72730967
Bouna;12,83333333;0,55771161;0,32488029;1,34104926;11,0480688;3,94755663;7,51802316;2,1223425;3,23742905;3,36594877;3,14241175;1,52027362;9,74889763;3,66351962;2,27061586;0,18071115;2,25707041;5,46206146
Bouna;13;0,56546286;0,26390836;1,67375102;11,302745;3,83355989;7,93997974;2,29177417;2,99462498;3,55586873;2,41279477;1,50000524;8,96770174;3,50205644;2,06806642;0,19519586;2,26401215;7,64090339
Bouna;12,66666667;0,54058516;0,29292478;1,44173405;10,7259513;3,79117085;7,23825576;2,07461145;2,87871988;3,42612522;2,52044016;1,40540667;8,82641042;3,39916186;2,26365389;0,1932587;2,19607029;7,74474661
Bouna;11,83333333;0,63311907;0,3088983;1,60156498;11,3104192;3,94838587;7,99390351;2,43697148;3,24071557;3,51723583;2,50564653;1,4053971;9,25588072;3,48302854;2,21531317;0,17828463;1,2427807;7,15977849
Bouna;13;0,60139006;0,28655139;1,63943291;10,9780701;3,56987588;7,31776668;2,19712863;2,77830896;3,21109818;2,71017004;1,40541032;8,70394581;3,56290298;2,24378448;0,15058739;2,14236373;7,92490157
Bouna;12;0,51268948;0,33384498;1,19995287;11,328803;3,90890089;7,90921497;2,36322368;3,16703381;3,5652203;2,17494021;1,31756163;8,90160223;3,55136346;1,89805817;0,17668585;2,31015463;7,55345229
Bouna;12,16666667;0,56733303;0,33220478;1,33434172;11,4483864;4,01794403;7,85142381;2,17462767;2,95823752;3,45112594;2,36431002;1,37837407;8,76980801;3,36984993;1,94552591;0,17049306;2,09418178;7,58946403
Bouna;12,5;0,57736391;0,29220828;1,54366569;10,7215624;3,89834158;7,13430889;2,17553303;3,20927909;3,45248809;2,21614545;1,42567507;8,87738428;3,33084283;1,98642813;0,16242628;2,16886074;7,76279958
Bouna;11,83333333;0,57449693;0,34017914;1,31963772;11,2497193;3,8808921;7,79827211;2,1466951;3,34198793;3,74676754;2,492139;1,39864039;9,57295535;3,4290281;2,02620107;0,16883014;2,20863744;7,46344487
Bouna;11,66666667;0,47372196;0,31835795;1,16279411;11,0290622;4,02832117;7,72783087;2,32170383;3,01060114;3,63124959;2,35005992;1,40539511;8,98267831;3,49569552;1,87742923;0,21242903;2,30299103;5,53852725
Bouna;12,41666667;0,57036369;0,29067813;1,53301085;11,4488295;4,04647775;8,15973227;2,31042129;2,82391625;3,01978761;3,69564252;1,52702536;9,53779426;3,58717809;2,16199886;0,19592686;2,2025508;7,90353642
Bouna;11,41666667;0,53322734;0,27074129;1,53916069;11,2237915;3,99298268;7,60197098;2,21297926;3,19194445;3,50864816;2,53198078;1,43241884;9,22019918;3,37299578;1,85013931;0,18889442;2,10684795;5,96748325
Bouna;11,75;0,65660597;0,27139332;1,89056012;11,0584599;3,79940279;7,62141327;2,20721038;3,17965552;3,32786634;2,49200691;1,44593638;8,99110494;3,59060309;2,04636329;0,16571325;2,14775363;5,99143528
Bouna;12,83333333;0,57802043;0,29286084;1,54184352;10,939887;3,81236634;7,56534884;2,09530629;3,18335925;3,7174133;2,18955142;1,45270591;9,09311186;3,45398252;2,24358472;0,17625082;2,10840111;7,659054
Bouna;10,5;0,63295761;0,31264993;1,58256769;10,9192986;3,80497399;7,75278418;2,20339045;3,24908746;3,31566671;2,53713956;1,35132721;9,07887357;3,36151968;2,34845529;0,15569825;2,22047298;7,18169897
Bouna;12;0,55254796;0,27129791;1,59139564;10,9576987;3,8008829;7,74725152;2,18091786;3,12651739;3,22085243;2,61398094;1,43242597;8,95559223;3,54461181;1,95885007;0,1742544;2,27638044;6,00091071
Bouna;10,25;0,57360892;0,29788169;1,50540247;11,2401848;4,01195352;7,667069;2,2362514;3,17392841;3,50313049;2,36127226;1,3648372;9,01263404;3,60930915;2,10516158;0,20220244;2,10541764;6,07469496
Bouna;12,16666667;0,54545242;0,29468518;1,44621695;11,5091385;4,00443833;7,96619097;2,32320471;3,07305496;3,49164797;2,37782036;1,39864427;8,93858799;3,54543329;2,22924844;0,17441089;2,21577944;7,7042513
Bouna;11,08333333;0,58888234;0,29201297;1,57614045;10,8500561;3,78855817;7,622782;2,07034964;3,04903738;3,52061952;2,484165;1,45944128;9,03791533;3,37131707;2,11304823;0,16063266;2,10645468;7,5944073
Bouna;11,58333333;0,53941809;0,29336247;1,43689899;10,9996595;3,83887905;7,60496834;2,2539636;3,15880721;3,65786488;2,41746041;1,35809719;9,22371427;3,5222651;2,09343265;0,17852083;1,99898698;7,35882787
Bouna;11,91666667;0,60885355;0,30651631;1,55211494;11,3870769;3,94214825;7,78626638;2,20768919;3,03170018;3,70664169;2,6408608;1,55404597;9,3722969;3,4969409;2,18164879;0,16836793;1,5602991;6,17548579
Bouna;12;0,59396952;0,30960799;1,49901726;10,8429937;3,76037616;7,58528808;2,20117406;3,0927537;3,55171568;2,38432886;1,32431835;9,02307974;3,54461181;1,9385861;0,19937945;2,10750949;5,85915691
Bouna;11,83333333;0,54792157;0,29716798;1,44075807;10,9192419;3,93488712;7,52843571;2,25470491;3,10568576;3,32145879;2,26251101;1,35134337;8,68244788;3,40202788;1,891121;0,17747425;2,13434077;7,61865213
Bouna;11,5;0,5840133;0,30122179;1,51513728;11,2465296;3,87884117;7,60347494;2,22672242;3,21249773;3,6169906;2,61989901;1,58106722;9,43768136;3,54207832;2,10008103;0,16487135;2,20148687;7,79603888
Bouna;10,75;0,5178456;0,31017727;1,30497626;11,0819034;3,99527789;7,68373631;2,33900182;3,01409391;3,69432862;2,51734064;1,56754326;9,20562037;3,46393643;2,02485916;0,17975173;2,1668009;6,08768177
Bouna;12,41666667;0,65005835;0,31255713;1,6249075;11,1381238;3,9586577;7,57206943;2,17530894;2,95903186;3,48592932;2,55384438;1,35810662;8,99740932;3,49260089;1,67554911;0,13904051;2,12147531;7,21451017
Man;11,58333333;0,57459754;0,28162797;1,59438521;10,8648597;3,79165207;7,42293452;2,06500857;3,07781216;3,42840472;2,12709505;1,48647453;8,62363345;3,3265837;2,02590256;0,16501699;1,83015362;7,2981226
Man;12,83333333;0,55146274;0,28114641;1,53229382;10,8181825;3,74477119;7,86958539;2,06827008;2,90625155;3,38622557;2,43283491;1,54730071;8,72803525;3,440464;2,03409337;0,16557305;2,14894728;4,95506318
